10	171.667
10.02	180
10.04	138.333
10.06	171.667
10.08	165
10.1	146.667
10.12	175
10.14	141.667
10.16	160
10.18	158.333
10.2	145
10.22	171.667
10.24	161.667
10.26	118.333
10.28	145
10.3	148.333
10.32	150
10.34	133.333
10.36	130
10.38	136.667
10.4	108.333
10.42	125
10.44	116.667
10.46	160
10.48	123.333
10.5	148.333
10.52	126.667
10.54	150
10.56	133.333
10.58	120
10.6	145
10.62	150
10.64	156.667
10.66	131.667
10.68	111.667
10.7	150
10.72	176.667
10.74	160
10.76	143.333
10.78	148.333
10.8	128.333
10.82	158.333
10.84	130
10.86	120
10.88	160
10.9	175
10.92	166.667
10.94	155
10.96	155
10.98	151.667
11	168.333
11.02	166.667
11.04	141.667
11.06	140
11.08	150
11.1	170
11.12	168.333
11.14	141.667
11.16	153.333
11.18	178.333
11.2	173.333
11.22	126.667
11.24	163.333
11.26	146.667
11.28	151.667
11.3	131.667
11.32	121.667
11.34	156.667
11.36	148.333
11.38	168.333
11.4	166.667
11.42	150
11.44	143.333
11.46	156.667
11.48	155
11.5	158.333
11.52	133.333
11.54	175
11.56	133.333
11.58	153.333
11.6	141.667
11.62	175
11.64	171.667
11.66	191.667
11.68	171.667
11.7	205
11.72	158.333
11.74	141.667
11.76	161.667
11.78	170
11.8	175
11.82	153.333
11.84	170
11.86	116.667
11.88	185
11.9	163.333
11.92	123.333
11.94	170
11.96	151.667
11.98	136.667
12	133.333
12.02	115
12.04	145
12.06	163.333
12.08	160
12.1	126.667
12.12	145
12.14	138.333
12.16	158.333
12.18	163.333
12.2	186.667
12.22	163.333
12.24	158.333
12.26	161.667
12.28	170
12.3	180
12.32	166.667
12.34	151.667
12.36	170
12.38	166.667
12.4	175
12.42	175
12.44	153.333
12.46	183.333
12.48	145
12.5	146.667
12.52	155
12.54	175
12.56	135
12.58	168.333
12.6	150
12.62	133.333
12.64	173.333
12.66	148.333
12.68	173.333
12.7	170
12.72	110
12.74	160
12.76	155
12.78	190
12.8	173.333
12.82	140
12.84	133.333
12.86	150
12.88	163.333
12.9	146.667
12.92	158.333
12.94	165
12.96	160
12.98	188.333
13	185
13.02	148.333
13.04	183.333
13.06	173.333
13.08	181.667
13.1	196.667
13.12	198.333
13.14	173.333
13.16	180
13.18	165
13.2	185
13.22	133.333
13.24	171.667
13.26	171.667
13.28	200
13.3	150
13.32	181.667
13.34	136.667
13.36	126.667
13.38	161.667
13.4	151.667
13.42	166.667
13.44	183.333
13.46	168.333
13.48	191.667
13.5	175
13.52	150
13.54	175
13.56	185
13.58	155
13.6	170
13.62	160
13.64	191.667
13.66	175
13.68	160
13.7	180
13.72	143.333
13.74	155
13.76	188.333
13.78	163.333
13.8	133.333
13.82	185
13.84	156.667
13.86	188.333
13.88	173.333
13.9	153.333
13.92	133.333
13.94	166.667
13.96	180
13.98	146.667
14	181.667
14.02	151.667
14.04	171.667
14.06	146.667
14.08	170
14.1	158.333
14.12	186.667
14.14	158.333
14.16	180
14.18	148.333
14.2	175
14.22	150
14.24	170
14.26	171.667
14.28	201.667
14.3	180
14.32	186.667
14.34	176.667
14.36	201.667
14.38	201.667
14.4	151.667
14.42	181.667
14.44	176.667
14.46	153.333
14.48	171.667
14.5	163.333
14.52	160
14.54	166.667
14.56	198.333
14.58	176.667
14.6	190
14.62	195
14.64	150
14.66	186.667
14.68	176.667
14.7	163.333
14.72	185
14.74	185
14.76	180
14.78	150
14.8	185
14.82	200
14.84	148.333
14.86	191.667
14.88	158.333
14.9	190
14.92	193.333
14.94	185
14.96	161.667
14.98	178.333
15	168.333
15.02	186.667
15.04	156.667
15.06	166.667
15.08	161.667
15.1	148.333
15.12	158.333
15.14	201.667
15.16	175
15.18	170
15.2	206.667
15.22	215
15.24	173.333
15.26	181.667
15.28	151.667
15.3	191.667
15.32	165
15.34	178.333
15.36	183.333
15.38	178.333
15.4	195
15.42	168.333
15.44	158.333
15.46	183.333
15.48	195
15.5	191.667
15.52	151.667
15.54	161.667
15.56	193.333
15.58	205
15.6	193.333
15.62	166.667
15.64	163.333
15.66	181.667
15.68	188.333
15.7	171.667
15.72	196.667
15.74	183.333
15.76	163.333
15.78	211.667
15.8	168.333
15.82	175
15.84	173.333
15.86	185
15.88	193.333
15.9	191.667
15.92	168.333
15.94	165
15.96	158.333
15.98	193.333
16	185
16.02	208.333
16.04	200
16.06	188.333
16.08	170
16.1	168.333
16.12	175
16.14	195
16.16	200
16.18	181.667
16.2	193.333
16.22	206.667
16.24	198.333
16.26	201.667
16.28	175
16.3	190
16.32	186.667
16.34	165
16.36	213.333
16.38	196.667
16.4	190
16.42	163.333
16.44	180
16.46	176.667
16.48	185
16.5	166.667
16.52	181.667
16.54	195
16.56	165
16.58	185
16.6	216.667
16.62	181.667
16.64	185
16.66	203.333
16.68	186.667
16.7	181.667
16.72	193.333
16.74	208.333
16.76	216.667
16.78	146.667
16.8	190
16.82	191.667
16.84	163.333
16.86	221.667
16.88	225
16.9	185
16.92	188.333
16.94	168.333
16.96	208.333
16.98	168.333
17	166.667
17.02	195
17.04	183.333
17.06	208.333
17.08	191.667
17.1	198.333
17.12	176.667
17.14	195
17.16	146.667
17.18	198.333
17.2	198.333
17.22	160
17.24	201.667
17.26	170
17.28	186.667
17.3	186.667
17.32	203.333
17.34	213.333
17.36	183.333
17.38	185
17.4	170
17.42	201.667
17.44	200
17.46	206.667
17.48	201.667
17.5	201.667
17.52	198.333
17.54	160
17.56	180
17.58	186.667
17.6	180
17.62	165
17.64	180
17.66	203.333
17.68	178.333
17.7	188.333
17.72	205
17.74	168.333
17.76	180
17.78	208.333
17.8	175
17.82	208.333
17.84	190
17.86	180
17.88	221.667
17.9	171.667
17.92	201.667
17.94	171.667
17.96	201.667
17.98	211.667
18	190
18.02	195
18.04	191.667
18.06	215
18.08	205
18.1	175
18.12	200
18.14	176.667
18.16	183.333
18.18	176.667
18.2	176.667
18.22	178.333
18.24	185
18.26	188.333
18.28	188.333
18.3	190
18.32	200
18.34	180
18.36	190
18.38	213.333
18.4	220
18.42	215
18.44	200
18.46	188.333
18.48	195
18.5	211.667
18.52	235
18.54	223.333
18.56	205
18.58	193.333
18.6	183.333
18.62	225
18.64	176.667
18.66	198.333
18.68	233.333
18.7	181.667
18.72	181.667
18.74	175
18.76	213.333
18.78	211.667
18.8	203.333
18.82	210
18.84	226.667
18.86	201.667
18.88	208.333
18.9	251.667
18.92	165
18.94	188.333
18.96	208.333
18.98	180
19	215
19.02	221.667
19.04	188.333
19.06	173.333
19.08	201.667
19.1	173.333
19.12	205
19.14	161.667
19.16	203.333
19.18	206.667
19.2	240
19.22	196.667
19.24	213.333
19.26	193.333
19.28	191.667
19.3	186.667
19.32	211.667
19.34	178.333
19.36	195
19.38	216.667
19.4	200
19.42	220
19.44	185
19.46	178.333
19.48	175
19.5	206.667
19.52	188.333
19.54	203.333
19.56	225
19.58	193.333
19.6	215
19.62	173.333
19.64	170
19.66	210
19.68	203.333
19.7	243.333
19.72	211.667
19.74	223.333
19.76	226.667
19.78	248.333
19.8	220
19.82	226.667
19.84	236.667
19.86	213.333
19.88	228.333
19.9	205
19.92	226.667
19.94	200
19.96	203.333
19.98	206.667
20	166.667
20.02	235
20.04	218.333
20.06	201.667
20.08	218.333
20.1	215
20.12	215
20.14	193.333
20.16	211.667
20.18	186.667
20.2	216.667
20.22	206.667
20.24	166.667
20.26	190
20.28	198.333
20.3	158.333
20.32	185
20.34	216.667
20.36	176.667
20.38	211.667
20.4	225
20.42	205
20.44	195
20.46	168.333
20.48	186.667
20.5	228.333
20.52	191.667
20.54	220
20.56	223.333
20.58	218.333
20.6	196.667
20.62	208.333
20.64	188.333
20.66	193.333
20.68	198.333
20.7	235
20.72	188.333
20.74	200
20.76	171.667
20.78	201.667
20.8	213.333
20.82	196.667
20.84	165
20.86	171.667
20.88	198.333
20.9	211.667
20.92	251.667
20.94	206.667
20.96	191.667
20.98	161.667
21	190
21.02	196.667
21.04	216.667
21.06	183.333
21.08	201.667
21.1	188.333
21.12	210
21.14	236.667
21.16	185
21.18	206.667
21.2	246.667
21.22	216.667
21.24	208.333
21.26	241.667
21.28	213.333
21.3	223.333
21.32	243.333
21.34	200
21.36	213.333
21.38	216.667
21.4	241.667
21.42	270
21.44	245
21.46	265
21.48	238.333
21.5	236.667
21.52	261.667
21.54	283.333
21.56	253.333
21.58	316.667
21.6	298.333
21.62	335
21.64	323.333
21.66	365
21.68	353.333
21.7	415
21.72	435
21.74	561.667
21.76	556.667
21.78	636.667
21.8	768.333
21.82	853.333
21.84	995
21.86	1173.33
21.88	1286.67
21.9	1373.33
21.92	1316.67
21.94	1306.67
21.96	1295
21.98	1276.67
22	1336.67
22.02	1373.33
22.04	1536.67
22.06	1811.67
22.08	2025
22.1	2216.67
22.12	2293.33
22.14	2191.67
22.16	2100
22.18	1833.33
22.2	1411.67
22.22	1160
22.24	836.667
22.26	560
22.28	395
22.3	386.667
22.32	350
22.34	313.333
22.36	278.333
22.38	285
22.4	298.333
22.42	218.333
